Region ,PARTICULARS, JANUARY , FEBRUARY , MARCH , APRIL , MAY , JUNE , JULY , AUGUST , SEPTEMBER , OCTOBER , NOVEMBER , DECEMBER 
National Capital Region (NCR),City of Caloocan, 600.79 , 435.53 , 336.78 , 78.15 , 125.80 , 804.85 , 362.37 , 375.56 , 351.80 , 415.26 , 507.85 , 455.26 
National Capital Region (NCR),City of Las Piñas, 668.95 , 465.90 , 392.34 , 98.97 , 189.80 ," 1,100.24 ", 442.18 , 433.19 , 416.80 , 499.72 , 601.09 , 473.99 
National Capital Region (NCR),City of Makati," 10,693.43 "," 8,109.89 "," 7,344.66 "," 3,104.96 "," 4,748.85 "," 15,895.86 "," 7,149.31 "," 7,609.07 "," 9,635.26 "," 9,006.44 "," 8,988.52 "," 8,440.80 "
National Capital Region (NCR),Cities of Malabon and Navotas, 292.07 , 249.84 , 204.43 , 50.94 , 83.01 , 505.92 , 177.09 , 214.58 , 198.62 , 246.25 , 272.15 , 261.19 
National Capital Region (NCR),City of Mandaluyong," 2,566.01 "," 1,467.69 "," 1,298.95 ", 766.44 , 729.84 ," 3,009.94 "," 1,198.54 "," 1,880.42 "," 1,081.88 "," 1,355.87 "," 1,704.07 "," 1,614.24 "
National Capital Region (NCR),City of Manila," 4,596.33 "," 2,881.31 "," 2,625.20 ", 993.57 ," 1,856.89 "," 5,618.57 "," 2,815.09 "," 3,003.45 "," 2,870.50 "," 3,182.13 "," 3,980.08 "," 5,903.42 "
National Capital Region (NCR),City of Marikina, 732.75 , 533.85 , 412.84 , 136.12 , 249.48 , 997.45 , 466.08 , 434.29 , 448.42 , 507.13 , 568.83 , 522.43 
National Capital Region (NCR),City of Muntinlupa," 1,251.16 ", 906.64 , 816.82 , 401.05 , 619.71 ," 2,176.58 ", 955.80 , 989.43 , 813.45 , 859.56 ," 1,134.96 "," 1,120.01 "
National Capital Region (NCR),City of Parañaque," 1,804.03 "," 1,136.99 ", 849.54 , 212.74 , 588.91 ," 2,209.01 ", 825.28 , 947.73 ," 1,012.98 "," 1,137.27 "," 1,210.40 "," 1,514.68 "
National Capital Region (NCR),Pasay City," 1,798.91 "," 1,375.60 "," 1,056.27 ", 304.82 , 791.71 ," 3,182.13 "," 1,123.63 ", 980.83 ," 1,108.91 "," 1,065.41 "," 1,524.40 "," 1,324.25 "
National Capital Region (NCR),City of Pasig," 4,004.09 "," 2,771.35 "," 2,132.17 ", 979.99 ," 2,039.28 "," 5,927.88 "," 2,553.99 "," 3,056.65 "," 2,249.45 "," 2,730.19 "," 3,283.24 "," 2,975.08 "
National Capital Region (NCR),Quezon City," 7,264.87 "," 6,011.83 "," 4,615.92 "," 1,899.42 "," 3,051.74 "," 11,729.24 "," 5,250.25 "," 4,814.66 "," 4,784.00 "," 5,426.91 "," 7,382.65 "," 6,153.82 "
National Capital Region (NCR),City of San Juan, 756.13 , 511.45 , 346.93 , 71.34 , 129.44 , 896.49 , 315.39 , 330.35 , 500.40 , 391.38 , 475.16 , 493.55 
National Capital Region (NCR),City of Taguig and Pateros," 5,345.53 "," 3,882.06 "," 3,369.41 "," 2,308.99 "," 2,713.29 "," 8,761.38 "," 4,386.69 "," 4,341.23 "," 3,694.04 "," 4,199.80 "," 5,138.01 "," 4,755.74 "
