Region ,PARTICULARS, JANUARY , FEBRUARY , MARCH , APRIL , MAY , JUNE , JULY , AUGUST , SEPTEMBER , OCTOBER , NOVEMBER , DECEMBER ,,
National Capital Region (NCR),City of Caloocan," 1,157.56 ", 368.72 , 372.25 ," 1,122.19 ", 658.68 , 346.36 , 951.09 , 595.88 , 494.53 ," 1,126.93 ", 607.40 , 443.47 ,,
National Capital Region (NCR),City of Las Piñas, 875.36 , 321.90 , 368.44 ," 1,079.74 ", 530.62 , 375.67 , 810.87 , 558.77 , 358.07 , 842.71 , 550.91 , 424.45 ,,
National Capital Region (NCR),City of Makati," 16,377.06 "," 6,171.35 "," 6,633.28 "," 20,179.73 "," 10,206.40 "," 11,078.70 "," 17,607.25 "," 10,772.52 "," 7,502.04 "," 15,708.85 "," 12,723.41 "," 8,534.26 ",,
National Capital Region (NCR),Cities of Malabon and Navotas, 569.89 , 204.36 , 270.76 , 763.01 , 310.47 , 268.61 , 591.62 , 388.72 , 288.37 , 607.92 , 337.41 , 275.07 ,,
National Capital Region (NCR),City of Mandaluyong," 5,114.50 "," 1,456.73 "," 1,445.80 "," 4,596.98 "," 2,432.80 "," 2,135.92 "," 3,820.36 "," 2,449.09 "," 1,773.24 "," 3,970.64 "," 2,851.89 "," 2,057.38 ",,
National Capital Region (NCR),City of Manila," 6,849.70 "," 2,802.99 "," 3,098.75 "," 7,096.66 "," 4,642.33 "," 4,145.56 "," 6,073.60 "," 4,435.28 "," 3,780.95 "," 6,997.37 "," 5,149.21 "," 5,319.05 ",,
National Capital Region (NCR),City of Marikina," 1,251.70 ", 598.91 , 560.91 ," 1,991.47 ", 754.01 , 610.07 ," 1,356.76 ", 898.99 , 656.69 ," 1,381.63 ", 981.46 , 645.03 ,,
National Capital Region (NCR),City of Muntinlupa," 1,944.58 "," 1,003.05 ", 957.79 ," 2,345.63 "," 1,294.07 ", 971.53 ," 1,803.84 "," 1,215.51 ", 900.12 ," 1,731.62 "," 1,388.28 "," 1,109.41 ",,
National Capital Region (NCR),City of Parañaque," 2,191.33 ", 943.57 ," 1,057.41 "," 3,463.36 "," 1,712.20 "," 1,247.28 "," 2,395.17 "," 1,778.77 "," 1,179.93 "," 2,413.47 "," 1,631.90 "," 1,096.16 ",,
National Capital Region (NCR),Pasay City," 3,621.15 "," 1,129.89 "," 1,108.19 "," 2,814.32 "," 1,596.66 "," 1,780.86 "," 3,984.67 "," 1,849.34 "," 1,386.25 "," 3,305.33 "," 2,190.64 "," 1,661.74 ",,
National Capital Region (NCR),City of Pasig," 7,483.96 "," 2,630.31 "," 2,555.37 "," 8,376.07 "," 4,037.32 "," 2,738.91 "," 7,404.41 "," 4,141.90 "," 2,941.01 "," 7,614.30 "," 4,347.37 "," 3,270.92 ",,
National Capital Region (NCR),Quezon City," 12,115.84 "," 4,924.53 "," 5,322.81 "," 13,638.10 "," 7,579.45 "," 6,379.26 "," 11,674.71 "," 9,244.93 "," 6,251.80 "," 12,930.01 "," 8,784.46 "," 7,518.43 ",,
National Capital Region (NCR),City of San Juan," 1,152.44 ", 476.37 , 518.05 ," 1,360.63 ", 589.43 , 493.07 ," 1,084.95 ", 591.61 , 452.52 ," 1,118.59 ", 699.70 , 560.16 ,,
National Capital Region (NCR),City of Taguig and Pateros," 9,878.14 "," 4,368.86 "," 4,975.61 "," 12,474.62 "," 6,905.65 "," 4,906.67 "," 11,345.62 "," 7,840.76 "," 5,530.65 "," 10,859.20 "," 8,599.90 "," 6,437.37 ",,
National Capital Region (NCR),City of Valenzuela, 945.40 , 311.39 , 350.00 ," 1,050.28 ", 614.99 , 593.83 , 968.83 , 555.33 , 437.79 , 949.45 , 597.06 , 487.03 ,,
National Capital Region (NCR),Large Taxpayers Service," 176,820.88 "," 78,679.93 "," 77,629.49 "," 220,204.11 "," 128,868.01 "," 96,566.86 "," 183,673.20 "," 138,831.11 "," 94,149.68 "," 191,803.09 "," 142,193.53 "," 104,352.83 ",,
Cordillera Administrative Region (CAR),Abra, 127.14 , 79.92 , 101.85 , 98.09 , 114.63 , 108.08 , 92.14 , 216.42 , 105.92 , 169.52 , 187.80 , 83.33 ,,
Cordillera Administrative Region (CAR),Apayao and Kalinga, 147.05 , 60.52 , 80.79 , 134.59 , 104.06 , 112.40 , 121.66 , 130.42 , 172.25 , 152.38 , 104.83 , 179.26 ,,
Cordillera Administrative Region (CAR),Benguet, 192.12 , 80.64 , 89.30 , 179.59 , 119.89 , 116.63 , 199.39 , 197.44 , 165.58 , 207.36 , 147.72 , 179.82 ,,
Cordillera Administrative Region (CAR),Ifugao, 43.17 , 27.56 , 34.72 , 48.04 , 42.12 , 46.92 , 61.95 , 33.14 , 55.26 , 46.62 , 51.32 , 48.89 ,,
Cordillera Administrative Region (CAR),Mountain Province, 61.42 , 39.28 , 27.74 , 44.06 , 52.99 , 51.59 , 58.72 , 39.56 , 54.76 , 76.31 , 42.89 , 96.65 ,,
Cordillera Administrative Region (CAR),City of Baguio, 506.02 , 247.19 , 265.66 , 574.69 , 375.31 , 281.91 , 532.70 , 410.63 , 349.51 , 510.70 , 353.51 , 345.41 ,,
Region I (Ilocos Region),Ilocos Norte, 362.07 , 174.91 , 237.35 , 442.85 , 345.28 , 303.77 , 334.48 , 320.73 , 226.20 , 321.78 , 263.19 , 236.44 ,,
Region I (Ilocos Region),Ilocos Sur, 535.08 , 130.90 , 175.42 , 386.92 , 241.03 , 245.72 , 303.29 , 278.43 , 232.05 , 348.54 , 249.64 , 257.39 ,,
Region I (Ilocos Region),La Union, 619.53 , 232.92 , 295.70 , 684.07 , 478.33 , 443.17 , 555.28 , 511.16 , 420.58 , 661.41 , 537.39 , 306.22 ,,
Region I (Ilocos Region),Pangasinan," 1,061.12 ", 614.92 , 565.27 ," 1,268.69 ", 794.18 , 748.28 ," 1,013.92 "," 1,089.03 ", 791.23 ," 1,030.25 "," 1,247.30 ", 728.14 ,,
Region II (Cagayan Valley),Cagayan and Batanes , 482.21 , 250.06 , 336.68 , 565.10 , 404.21 , 451.88 , 479.50 , 476.44 , 384.76 , 578.20 , 523.54 , 512.25 ,,
Region II (Cagayan Valley),Isabela, 696.44 , 303.61 , 369.80 , 693.85 , 444.68 , 513.14 , 677.56 , 651.56 , 510.88 , 772.10 , 656.95 , 547.77 ,,
Region II (Cagayan Valley),Nueva Vizcaya, 155.98 , 117.87 , 124.76 , 242.08 , 180.52 , 177.42 , 146.41 , 142.76 , 156.53 , 177.75 , 172.10 , 158.61 ,,
Region II (Cagayan Valley),Quirino, 80.79 , 33.76 , 31.98 , 60.30 , 45.55 , 44.90 , 57.90 , 57.84 , 36.43 , 85.69 , 51.19 , 55.45 ,,
Region III (Central Luzon),Aurora, 70.13 , 35.22 , 49.46 , 75.23 , 50.33 , 64.12 , 104.26 , 65.26 , 78.70 , 97.39 , 68.56 , 70.09 ,,
Region III (Central Luzon),Bataan, 746.33 , 282.04 , 393.25 , 603.81 , 397.23 , 414.05 , 615.65 , 441.31 , 336.22 , 526.99 , 446.29 , 542.37 ,,
Region III (Central Luzon),Bulacan," 2,018.88 "," 1,010.89 "," 1,203.15 "," 2,878.77 "," 1,505.29 "," 1,284.63 "," 2,235.05 "," 1,446.77 "," 1,385.46 "," 2,360.43 "," 1,671.30 "," 1,500.43 ",,
Region III (Central Luzon),Nueva Ecija, 800.98 , 861.76 , 527.41 ," 1,036.46 ", 643.13 , 573.11 , 854.99 , 651.54 , 653.25 , 848.99 , 667.23 , 618.88 ,,
Region III (Central Luzon),Pampanga," 2,033.31 ", 860.93 , 971.83 ," 2,391.27 "," 1,292.17 "," 1,140.82 "," 2,247.12 "," 1,529.66 "," 1,276.31 "," 2,551.53 "," 1,515.93 "," 1,281.76 ",,
Region III (Central Luzon),Tarlac," 1,043.58 ", 401.39 , 441.41 , 796.44 , 559.42 , 568.68 , 671.72 , 553.77 , 530.61 , 761.47 , 456.91 , 446.69 ,,
Region III (Central Luzon),Zambales, 263.61 , 97.92 , 114.81 , 385.40 , 237.84 , 104.57 , 179.03 , 227.61 , 131.68 , 195.07 , 235.91 , 251.01 ,,
